,CP,CP_CI_HP,Date,HP,LP,emaCP5,emaCP_CI_HP5,emaCP20,emaCP_CI_HP20,minHP3,avCP_CI_HP50,avCP_CI_HP10
0,8356.5498046875,9131.7,,8356.5498046875,8356.5498046875,8549.612143407334,8933.31035665965,8920.036330520048,9049.393254423043,8356.5498046875,10513.86303515625,8671.03490234375
1,8793.35,9131.7,,9131.7,8793.35,8646.14331276725,8834.115534989473,8979.350701660316,9040.729386467574,9131.7,10573.60903515625,8589.64986328125
2,8793.35,9131.7,,9131.7,8653.9,8572.539969150876,8685.323302484208,8998.929722887719,9031.153532411528,9131.7,10635.94003515625,8456.58484375
3,8797.099609375,8797.099609375,2020-04-08,9131.7001953125,8653.900390625,8462.134953726312,8462.134953726312,9020.569693718006,9020.569693718006,8356.5498046875,10696.913027343753,8304.439843750002
4,8083.7998046875,8083.7998046875,2020-04-03,8356.5498046875,8055.7998046875,8294.652625901967,8294.652625901967,9044.092860490953,9044.092860490953,8356.5498046875,10763.10904296875,8299.27490234375
5,8253.7998046875,8253.7998046875,2020-04-01,8588.099609375,8198.349609375,8400.0790365092,8400.0790365092,9145.176340049213,9145.176340049213,8576.0,10844.8300390625,8317.23994140625
6,8597.75,8597.75,2020-03-31,8678.2998046875,8358.0,8473.218652420048,8473.218652420048,9239.005449034656,9239.005449034656,8576.0,10924.2450390625,8338.73994140625
7,8281.099609375,8281.099609375,2020-03-30,8576.0,8244.0,8410.95297863007,8410.95297863007,9306.50602261725,9306.50602261725,8576.0,10999.33703125,8375.669921875
8,8660.25,8660.25,2020-03-27,9038.900390625,8522.900390625,8475.879663257605,8475.879663257605,9414.443539800644,9414.443539800644,8376.75,11080.8250390625,8467.3
9,8641.4501953125,8641.4501953125,2020-03-26,8749.0498046875,8304.900390625,8383.694494886406,8383.694494886406,9493.83233346387,9493.83233346387,8036.9501953125,11154.48603515625,8596.79501953125
10,8317.849609375,8317.849609375,2020-03-25,8376.75,7714.75,8254.816644673358,8254.816644673358,9583.55676905875,9583.55676905875,8036.9501953125,11228.90302734375,8691.6650390625
11,7801.0498046875,7801.0498046875,2020-03-24,8036.9501953125,7511.10009765625,8223.300162322535,8223.300162322535,9716.789101657041,9716.789101657041,8036.9501953125,11309.13703125,8905.7201171875
12,7610.25,7610.25,2020-03-23,8159.25,7583.60009765625,8434.425341140053,8434.425341140053,9918.445869759098,9918.445869759098,8159.25,11398.25203125,9170.76015625
13,8745.4501953125,8745.4501953125,2020-03-20,8883.0,8178.2001953125,8846.513011710078,8846.513011710078,10161.41385604953,10161.41385604953,8575.4501953125,11490.3650390625,9508.68017578125
14,8263.4501953125,8263.4501953125,2020-03-19,8575.4501953125,7832.5498046875,8897.044419908867,8897.044419908867,10310.462662442902,10310.462662442902,8575.4501953125,11555.96302734375,9761.03515625
15,8468.7998046875,8468.7998046875,2020-03-18,9127.5498046875,8407.0498046875,9213.84153220705,9213.84153220705,10525.937658982943,10525.937658982943,9127.5498046875,11631.75302734375,10059.79013671875
16,8967.0498046875,8967.0498046875,2020-03-17,9403.7998046875,8915.599609375,9586.362395966824,9586.362395966824,10742.478485750884,10742.478485750884,9403.7998046875,11702.23802734375,10343.24013671875
17,9197.400390625,9197.400390625,2020-03-16,9602.2001953125,9165.099609375,9896.018691606485,9896.018691606485,10929.365715336504,10929.365715336504,9602.2001953125,11767.4300390625,10559.81015625
18,9955.2001953125,9955.2001953125,2020-03-13,10159.400390625,8555.150390625,10245.327842097227,10245.327842097227,11111.67785477982,11111.67785477982,10040.75,11829.12603515625,10760.2451171875
19,9590.150390625,9590.150390625,2020-03-12,10040.75,9508.0,10390.391665489591,10390.391665489591,11233.412345250066,11233.412345250066,10040.75,11873.67203125,10928.055078125
20,10458.400390625,10458.400390625,2020-03-11,10545.099609375,10334.0,10790.512302921885,10790.512302921885,11406.387287842179,11406.387287842179,10545.099609375,11925.23802734375,11136.8900390625
21,10451.4501953125,10451.4501953125,2020-03-09,10751.5498046875,10294.4501953125,10956.568259070325,10956.568259070325,11506.175382286094,11506.175382286094,10751.5498046875,11961.18701171875,11270.8400390625
22,10989.4501953125,10989.4501953125,2020-03-06,11035.099609375,10827.400390625,11209.127290949236,11209.127290949236,11617.19908617805,11617.19908617805,11035.099609375,11997.07400390625,11408.63505859375
23,11269.0,11269.0,2020-03-05,11389.5,11244.599609375,11318.965838767603,11318.965838767603,11683.277916795476,11683.277916795476,11342.25,12019.81599609375,11517.775
24,11251.0,11251.0,2020-03-04,11356.599609375,11082.150390625,11343.948758151402,11343.948758151402,11726.88611856342,11726.88611856342,11342.25,12038.7269921875,11603.4650390625
25,11303.2998046875,11303.2998046875,2020-03-03,11342.25,11152.5498046875,11390.423137227102,11390.423137227102,11776.979394201675,11776.979394201675,11342.25,12058.9619921875,11677.6150390625
26,11132.75,11132.75,2020-03-02,11433.0,11036.25,11433.984803496904,11433.984803496904,11826.840403624221,11826.840403624221,11384.7998046875,12078.3319921875,11751.8650390625
27,11201.75,11201.75,2020-02-28,11384.7998046875,11175.0498046875,11584.602205245354,11584.602205245354,11899.90255137414,11899.90255137414,11384.7998046875,12100.87099609375,11849.93505859375
28,11633.2998046875,11633.2998046875,2020-02-27,11663.849609375,11536.7001953125,11776.02830786803,11776.02830786803,11973.392293624049,11973.392293624049,11663.849609375,12121.26900390625,11947.22509765625
