,CP,CP_CI_HP,Date,HP,LP,emaCP5,emaCP_CI_HP5,emaCP20,emaCP_CI_HP20,minHP3,avCP_CI_HP50,avCP_CI_HP10
86,11921.5,11921.5,2019-12-06,12057.05,11888.85,11995.798141544867,11995.798141544867,11962.494775756144,11962.494775756144,12054.7,11733.964999999995,12044.485
87,12018.4,12018.4,2019-12-05,12081.2,11998.75,12032.9472123173,12032.9472123173,11966.810015309422,11966.810015309422,12054.7,11727.538999999995,12043.775
88,12043.2,12043.2,2019-12-04,12054.7,11935.3,12040.220818475947,12040.220818475947,11961.37949060515,11961.37949060515,12054.7,11712.653999999995,12038.775
89,11994.2,11994.2,2019-12-03,12067.65,12067.65,12038.73122771392,12038.73122771392,11952.766805405692,11952.766805405692,12067.65,11685.885999999997,12034.365
90,12048.2,12048.2,2019-12-02,12137.15,12023.7,12060.996841570879,12060.996841570879,11948.405416501028,11948.405416501028,12137.15,11662.814999999997,12028.954999999998
91,12056.05,12056.05,2019-11-29,12147.4,12017.4,12067.395262356318,12067.395262356318,11937.900723501134,11937.900723501134,12114.9,11638.202999999998,12012.585
92,12151.15,12151.15,2019-11-28,12158.8,12099.95,12073.067893534477,12073.067893534477,11925.463957553886,11925.463957553886,12114.9,11617.151999999996,11996.525
93,12100.7,12100.7,2019-11-27,12114.9,12055.15,12034.026840301714,12034.026840301714,11901.707532033242,11901.707532033242,12084.5,11595.646999999997,11968.619999999999
94,12037.7,12037.7,2019-11-26,12132.45,12006.35,12000.69026045257,12000.69026045257,11880.760956457792,11880.760956457792,11968.1,11573.288999999999,11942.595
95,12073.75,12073.75,2019-11-25,12084.5,11919.75,11982.185390678853,11982.185390678853,11864.241057137559,11864.241057137559,11968.1,11553.249,11930.169999999998
96,11914.4,11914.4,2019-11-22,11968.1,11883.5,11936.40308601828,11936.40308601828,11842.187484204669,11842.187484204669,11968.1,11531.835,11913.609999999999
97,11968.4,11968.4,2019-11-21,12028.2,11956.9,11947.404629027416,11947.404629027416,11834.586166752528,11834.586166752528,11958.85,11512.470999999998,11923.374999999998
98,11999.1,11999.1,2019-11-20,12038.6,11966.05,11936.906943541126,11936.906943541126,11820.500500094899,11820.500500094899,11946.2,11490.060999999998,11923.139999999998
99,11940.1,11940.1,2019-11-19,11958.85,11881.75,11905.81041531169,11905.81041531169,11801.700552736467,11801.700552736467,11946.2,11466.972,11914.949999999999
100,11884.5,11884.5,2019-11-18,11946.2,11867.6,11888.665622967534,11888.665622967534,11787.132189866621,11787.132189866621,11895.65,11444.128,11915.07
101,11895.45,11895.45,2019-11-15,11973.65,11879.25,11890.7484344513,11890.7484344513,11776.882946694686,11776.882946694686,11895.65,11426.903,11915.68
102,11872.1,11872.1,2019-11-14,11895.65,11802.65,11888.397651676947,11888.397651676947,11764.402204241496,11764.402204241496,11895.65,11407.960000000003,11913.880000000001
103,11840.45,11840.45,2019-11-13,11946.8,11823.2,11896.54647751542,11896.54647751542,11753.065594161655,11753.065594161655,11932.65,11391.440000000002,11911.035
104,11913.45,11913.45,2019-11-11,11932.65,11853.95,11924.594716273128,11924.594716273128,11743.867235652357,11743.867235652357,11932.65,11376.738000000003,11905.675
105,11908.15,11908.15,2019-11-08,12034.15,11888.75,11930.167074409692,11930.167074409692,11726.016418352605,11726.016418352605,12002.9,11359.626000000004,11877.045
106,12012.05,12012.05,2019-11-07,12021.4,11946.85,11941.175611614535,11941.175611614535,11706.844462389721,11706.844462389721,11978.95,11338.050000000003,11844.619999999999
107,11966.05,11966.05,2019-11-06,12002.9,11850.25,11905.738417421802,11905.738417421802,11674.717563693903,11674.717563693903,11978.95,11312.636,11801.675
108,11917.2,11917.2,2019-11-05,11978.95,11861.9,11875.582626132704,11875.582626132704,11644.050991451155,11644.050991451155,11918.3,11291.688999999998,11765.48
109,11941.3,11941.3,2019-11-04,11989.15,11905.35,11854.773939199054,11854.773939199054,11615.298464235486,11615.298464235486,11918.3,11273.685,11732.595000000001
110,11890.6,11890.6,2019-11-01,11918.3,11843.35,11811.510908798582,11811.510908798582,11580.982513102379,11580.982513102379,11883.95,11255.937,11704.650000000001
111,11877.45,11877.45,2019-10-31,11945.0,11855.1,11771.966363197873,11771.966363197873,11548.391198692101,11548.391198692101,11809.4,11239.081,11674.225000000002
112,11843.65,11843.65,2019-10-30,11883.95,11784.45,11719.224544796807,11719.224544796807,11513.753430133374,11513.753430133374,11672.4,11222.120000000003,11632.880000000001
113,11786.85,11786.85,2019-10-29,11809.4,11627.35,11657.011817195209,11657.011817195209,11479.02747541057,11479.02747541057,11646.9,11203.764000000001,11591.345000000003
